,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,SRP($),Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
MK73S,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,2490
XR1000,2480,2480,2480,1980,1980,1980,1980,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1430,1430,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
LB2120,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180
LM1200,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
LAX20,2380,,,,,,,,,,,2098,2098,2098,2098,2098,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
MR1100,1988,1988,1988,1988,1988,1988,1988,1988,1988,1690,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798
MR2100,3312,,,,,,,,,2599,2599,2599,2599,2599,2599,2599,2599,2599,2599,2454,2454,2454,2454,2649,2649,2490,2490,2490,2490,2490,2490,2490
MR5200,5988,,,,6388,5988,5988,5988,5988,5430,5430,5430,5430,5430,5388,5388,4999,4999,4999,4699,4699,4699,4699,4699,4699,4699,4699,4699,4699,4380,4380,4380
MR6150,7380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR6450,8180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR6550,8980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX6120,299,,,,,,,,,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348
EX7700,1100,,,,,,,,,780,780,780,780,780,780,780,780,780,780,780,780,680,680,680,680,680,680,680,680,680,680,680
A6100,198,,,,,,,,,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
A6150,350,,,,,,,,,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
A7000,420,,,,,,,,,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
A8000,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
