"Part No.","Description","Wifi Speed","SRP($)","Warranty","CPU(No.of cores)","RAM(MB)","Flash(MB)","Antenna"
"RBS350","Orbi Dual Band WiFi 6 AX1800 MESH Add-On Satellite","AX1800","950","3 Year","4","512","512","2"
"Nighthawk Mesh WiFi Router","","","","","","","",""
"MS60","Nighthawk AX1800 Mesh Satellite Unit","AX1800","850","3 Year","4","512","256","4"
"MK72S","Nighthawk AX3000 Dual Band WiFi Meh System with 1-Year Armor (2 pack)","AX3000","1920","3 Year","4","512","256","4"
"MK73S","Nighthawk AX3000 Dual Band WiFi Meh System with 1-Year Armor (3 pack)","AX3000","2820","3 Year","4","512","256","4"
"Nighthawk Pro Gaming Router","","","","","","","",""
"XR1000","Nighthawk Pro Gaming 6-stream WiFi6 AX5400 Router","AX5400","2480","3 Year","3","512","256","4"
"4G/5G LTE Mobile","","","","","","","",""
"LB2120","4G LTE Modem, Cat.4, 2 Gigabit ports","","1180","1 Year ","","","",""
"LM1200","4G LTE Modem, Cat4 (up to 150Mbps UL), 1 WAN, 1LAN, compact size","","1250","1 Year ","","","",""
"LAX20","WiFi6 AX1800 4G LTE Router with 4 Gigabit port and USB2.0, Cat 6 up to 300Mbps","AX1800","2380","1 Year ","","","",""
"MR1100","Nighthawk M1 4GX Gigabit LTE Mobile Router, Cat16, 4 band CA, 4x4 MIMO","AC1200","1988","1 Year ","","","",""
"MR2100","Nighthawk M2 Mobile Router, Cat20, 5 band CA, 4x4 MIMO, 5040mAh battery","AC1200","3312","1 Year ","","","",""
"MR5200","Nighthawk M5 Mobile Router","AX1800","5988","1 Year ","","","",""
"MR6150","Nighthawk M6 Mobile Router","AX3600","7380","1 Year ","","","",""
"MR6450","Nighthawk M6 Pro Mobile Router","AXE3600","8180","1 Year ","","","",""
"MR6550","Nighthawk M6 Pro+ mmWave Mobile Router","AXE3600","8980","1 Year ","","","",""
"WIRELESS Routers and Client Adatpers","","","","","","","",""
"EX6120","AC1200 Dual band Range Extender (support AP mode), 100M LAN","AC1200","299","3 Year ","","","",""
"EX7700","Nighthawk X6 Tri-band AC2200 Mesh Extender (support AP mode, 2 LAN ports)","AC2200","1100","3 Year ","","","",""
"","","","","","","","",""
"A6100","AC600 Dual Band WiFi USB Adapter, 150+433Mbps","AC600","198","2 Year ","","","",""
"A6150","AC1200 Dual Band WiFi USB Adapter, nano size 20 x 14 x 7mm","AC1200","350","2 Year ","","","",""
"A7000","Nighthawk AC1900 WiFi Adatper, USB3.0, Dual band","AC1900","420","2 Year ","","","",""
"A8000","Nighthawk AXE3000 WiFi 6E Adatper, USB3.0, Tri-band support","AXE3000","899","2 Year ","","","",""
